district_code,score_math,female_pct,ell_pct,low_income_pct,stratio
4450000,495.0,54.0,9.0,36.0,12.0
10000,499.0,50.0,6.0,22.0,17.0
4120000,492.0,51.0,13.0,35.0,11.0
6000000,513.0,48.0,5.0,6.0,15.0
30000,501.0,48.0,1.0,23.0,13.0
6030000,487.0,49.0,1.0,48.0,15.0
50000,500.0,48.0,5.0,29.0,12.0
4090000,501.0,55.0,23.0,56.0,12.0
70000,495.0,47.0,1.0,22.0,12.0
80000,497.0,48.0,17.0,34.0,9.0
6050000,500.0,48.0,7.0,25.0,12.0
90000,508.0,50.0,4.0,7.0,13.0
35090000,489.0,46.0,25.0,53.0,12.0
100000,508.0,50.0,5.0,8.0,14.0
6100000,499.0,50.0,2.0,15.0,15.0
140000,498.82066045450955,50.0,5.0,13.0,14.0
8010000,490.0704965000311,41.0,3.0,22.0,10.0
6150000,490.0,47.0,3.0,48.0,14.0
4910000,495.0,53.0,10.0,40.0,14.0
160000,498.0,48.0,6.0,30.0,16.0
170000,501.0,50.0,4.0,17.0,14.0
180000,496.0,46.0,4.0,28.0,11.0
6160000,495.0,48.0,4.0,24.0,12.0
200000,497.0,49.0,11.0,31.0,14.0
4270000,507.0,49.0,21.0,39.0,12.0
35020000,483.0,50.0,13.0,68.0,9.0
230000,510.0,49.0,6.0,9.0,11.0
240000,494.0,49.0,1.0,18.0,14.0
250000,496.0,49.0,2.0,18.0,13.0
260000,517.0,49.0,8.0,7.0,17.0
4200000,507.0,51.0,5.0,50.0,19.20881711469176
4470000,512.0,51.0,6.0,7.0,15.0
35110000,491.0,50.0,21.0,64.0,12.0
270000,500.0,51.0,1.0,16.0,15.0
4140000,501.0,49.0,1.0,39.0,11.0
6180000,495.0,48.0,3.0,27.0,11.0
280000,502.0,44.0,3.0,15.0,10.0
6200000,502.0,46.0,2.0,11.0,12.0
300000,500.0,48.0,4.0,25.0,14.0
310000,500.0,49.0,2.0,16.0,13.0
8050000,498.5816537778106,50.0,0.0,9.0,12.0
6220000,496.0,49.0,2.0,20.0,14.0
8060000,489.9128824763685,45.0,1.0,22.0,10.0
350000,489.0,48.0,30.0,56.0,12.0
4490000,498.0,51.0,4.0,29.0,11.0
4240000,484.23877762451554,54.0,6.0,56.0,16.0
4110000,478.0,48.0,15.0,62.0,12.0
4160000,495.0,49.0,16.0,37.0,10.0
4810000,492.0,52.0,12.0,49.0,12.0
360000,494.0,50.0,1.0,26.0,13.0
380000,507.0,49.0,1.0,4.0,12.0
390000,504.0,52.0,2.0,8.0,13.0
400000,505.0,50.0,6.0,18.0,14.0
410000,503.0,50.0,4.0,24.0,11.0
4170000,488.0,51.0,23.0,59.0,10.0
6250000,503.0,49.0,2.0,16.0,16.0
430000,508.0,50.0,0.0,18.0,12.0
9100000,494.3260751389208,60.619438361023875,0.0,20.0,13.0
8100000,491.33140868933174,43.0,0.0,24.0,13.0
440000,484.0,48.0,24.0,52.0,17.0
4280000,509.0,52.0,8.0,45.0,12.0
450000,504.0,49.0,0.0,27.0,14.0
460000,512.0,49.0,11.0,10.0,12.0
480000,503.0,50.0,5.0,11.0,11.0
490000,501.0,49.0,9.0,28.0,10.0
500000,507.0,50.0,3.0,14.0,14.0
4320000,502.0,55.0,2.0,17.0,11.0
8150000,489.28242638171815,37.459573984655144,2.0,33.0,9.0
510000,515.0,46.0,3.0,4.0,11.0
520000,495.0,50.0,1.0,21.0,12.0
6350000,494.0,49.0,1.0,30.0,13.0
560000,507.0,48.0,4.0,12.0,13.0
570000,487.0,47.0,33.68708970088926,62.0,14.0
6320000,498.0,51.0,0.0,26.0,10.0
610000,495.0,47.0,6.0,51.0,13.0
4180000,501.0,48.0,4.0,18.0,10.0
4370000,487.70628614509235,50.0,15.0,56.0,11.0
35040000,487.8639001687549,55.0,20.0,54.0,10.0
35070000,498.82066045450955,54.0,18.0,65.0,11.0
