district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
4450000,97,5,15,2,15,88,0,2,0,0,0,51,3,23,20,0,0,3,8,90,2,0,99,44,497,37,495,,85,,536,526,698,19,1420,54,46,9,12,36,,,,,,,,,,95,12,1440,      35,1,1,1,0,0,Charter,
10000,95,9,34,11,19,70,2,2,0,0,0,4,2,8,85,0,0,1,13,86,1,1,92,55,502,48,499,14574,94,79107,550,535,1073,21,2087,50,50,6,14,22,1,0,2,96,0,0,0,84,16,100,17,2122,      75,1,1,1,0,0,District,35787
4120000,95,9,35,12,19,89,1,8,0,0,1,61,1,27,9,0,0,2,11,71,18,0,97,44,497,33,492,,62,,,,167,21,521,51,49,13,26,35,23,5,10,55,0,0,7,68,32,77,11,538,      45,4,2,2,0,1,Charter,
6000000,96,7,24,6,0,90,0,1,0,0,0,2,33,5,55,0,0,5,13,87,0,0,96,73,513,72,513,15198,89,82318,656,684,2179,21,5658,48,52,5,15,6,0,3,1,95,0,0,0,87,13,100,15,5726,      43,0,1,0,0,0,District,56546
30000,96,7,25,5,19,,2,0,0,0,0,1,0,3,93,0,0,3,7,84,9,0,,52,501,51,501,12398,89,71477,,,435,19,989,48,52,1,14,23,2,0,0,98,0,0,0,85,15,100,13,991,      15,1,0,0,0,0,District,
6030000,94,10,35,14,30,66,4,3,0,0,0,4,1,3,90,0,0,2,13,85,2,0,88,40,494,24,487,13771,85,77014,522,522,742,17,1205,49,51,1,26,48,0,0,0,99,0,0,1,82,18,99,15,1282,      75,3,2,1,0,0,District,29489
4300000,96,7,19,5,11,90,1,1,0,0,0,2,17,6,68,0,0,7,-50,-50,-50,-50,-50,-50,510,-50,509,,-50,,631,676,489,19,983,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,12,1000,      16,1,1,0,0,0,Charter,
50000,95,9,33,10,21,78,2,1,0,0,0,2,3,8,84,0,0,3,12,88,0,0,93,50,499,53,500,15721,95,69650,548,555,2618,16,3879,48,52,5,16,29,1,0,1,98,0,0,0,83,17,100,12,4002,     104,1,1,0,0,0,District,31055
4090000,97,6,21,3,14,,6,9,0,0,0,16,0,59,24,1,0,0,,,,,,50,501,54,501,,63,,,,131,19,398,55,45,23,16,56,5,2,12,82,0,0,0,72,28,52,12,419,      49,5,4,2,1,0,Charter,
70000,94,10,37,14,14,81,1,1,0,0,0,2,1,8,85,0,0,4,22,75,4,0,83,47,499,43,495,15866,92,76997,571,574,1136,17,2166,47,53,1,21,22,0,0,1,99,0,0,1,82,18,100,12,2227,      45,1,1,0,0,0,District,36209
80000,95,8,29,10,5,,,,,,,9,14,21,47,0,0,8,27,69,3,1,,50,501,47,497,21134,87,73844,,,312,20,1162,48,52,17,22,34,7,3,12,75,0,0,3,83,17,100,9,1220,       4,,,,,,District,
6050000,94,11,37,16,11,80,1,3,0,0,0,8,9,17,58,0,0,9,34,64,1,0,91,57,501,54,500,21382,88,82327,604,591,939,14,1345,48,52,7,20,25,12,1,11,73,0,0,2,66,34,99,12,1388,      50,1,2,1,0,0,District,
90000,96,8,28,8,6,88,1,1,0,0,0,2,18,6,70,0,0,3,18,80,2,0,94,68,509,64,508,17040,90,84838,600,603,2710,18,6004,50,50,4,19,7,0,2,3,95,0,0,0,85,15,100,13,6088,      82,0,1,0,0,0,District,52496
35090000,95,10,41,17,30,,19,7,0,0,1,11,2,19,63,0,0,6,,,,,,26,487,31,489,,58,,,,135,25,410,46,54,25,23,53,5,6,4,83,0,0,2,69,31,83,12,418,      84,8,7,4,1,0,Charter,
100000,96,7,23,8,4,82,0,1,0,0,0,4,13,6,71,0,0,6,0,98,2,0,93,70,511,66,508,14223,88,70251,610,602,2562,18,5743,50,50,5,16,8,2,2,3,92,0,0,1,80,20,100,14,5881,      79,0,0,0,0,0,District,52813
6100000,96,7,22,5,18,86,4,1,0,0,0,1,1,5,91,0,0,3,20,78,2,0,96,53,501,49,499,12373,94,70190,549,547,1428,19,2380,50,50,2,19,15,1,0,1,97,0,0,1,77,23,100,15,2436,      98,1,2,1,1,0,District,44592
140000,96,7,20,6,4,86,1,2,0,0,0,3,15,12,67,1,0,3,17,81,1,0,95,63,-9999,60,-9999,13761,92,79826,-9999,-9999,1306,18,2803,50,50,5,16,13,0,1,2,98,0,0,0,82,18,100,14,2848,      68,1,1,1,0,0,District,50067
8010000,95,9,33,12,26,49,5,5,0,0,0,1,1,17,79,0,0,3,11,87,2,0,95,,,,,19644,94,81378,513,498,648,17,1111,41,59,3,29,22,1,1,4,94,0,0,0,50,50,99,10,1123,     107,5,2,2,0,1,Vocational Technical,
6150000,92,14,52,27,22,53,5,3,0,0,0,1,1,9,85,0,0,3,2,93,4,1,75,36,492,33,490,13901,77,65972,531,515,649,17,1544,47,53,3,28,48,2,0,1,97,0,0,0,81,19,99,14,1604,     117,2,3,2,0,0,District,26736
